Timestamp,610nm,680nm,730nm,760nm,810nm,860nm
2026-05-19 17:35:24,122.93,52.05,38.24,38.54,36.46,43.42
2026-05-19 17:35:25,122.93,52.05,38.24,37.68,36.46,43.42
2026-05-19 17:35:27,124.06,52.05,39.11,38.54,36.46,43.42
2026-05-19 17:35:28,125.2,53.07,39.11,38.54,36.46,43.42
2026-05-19 17:35:29,124.06,53.07,39.11,38.54,36.46,43.42
2026-05-19 17:35:31,125.2,52.05,39.11,38.54,36.46,43.42
2026-05-19 17:35:33,125.2,52.05,39.11,38.54,36.46,43.42
2026-05-19 17:35:34,27.32,35.72,22.59,26.55,25.79,34.97
2026-05-19 17:35:35,10.24,16.33,12.17,13.7,12.45,14.47
2026-05-19 17:35:37,10.24,15.31,11.3,12.85,10.67,14.47
2026-05-19 17:35:38,11.38,14.29,13.9,15.41,10.67,18.09
2026-05-19 17:35:40,9.11,15.31,11.3,12.85,11.56,14.47
2026-05-19 17:35:41,10.24,16.33,12.17,13.7,12.45,15.68
2026-05-19 17:35:43,102.44,51.03,35.63,35.97,34.69,41.0
2026-05-19 17:35:44,46.67,47.97,27.81,34.25,36.46,49.45
2026-05-19 17:35:45,75.12,68.38,39.11,47.96,40.91,56.68
2026-05-19 17:35:47,116.1,51.03,35.63,35.97,34.69,41.0
2026-05-19 17:35:49,68.29,81.65,44.32,58.23,45.36,67.54
2026-05-19 17:35:50,117.24,51.03,36.5,36.82,35.57,42.21
2026-05-19 17:35:51,117.24,52.05,36.5,36.82,35.57,42.21
2026-05-19 17:35:53,117.24,52.05,36.5,36.82,35.57,42.21
2026-05-19 17:35:55,117.24,51.03,36.5,36.82,35.57,42.21
2026-05-19 17:35:56,117.24,51.03,36.5,36.82,35.57,42.21
2026-05-19 17:35:57,116.1,51.03,35.63,36.82,35.57,42.21
2026-05-19 17:35:58,118.37,52.05,36.5,36.82,35.57,42.21
2026-05-19 17:36:01,118.37,52.05,36.5,36.82,34.69,42.21
2026-05-19 17:36:02,119.51,51.03,36.5,36.82,35.57,42.21
2026-05-19 17:36:03,116.1,51.03,35.63,36.82,35.57,42.21
2026-05-19 17:36:04,,,,,,
2026-05-19 17:36:06,13.66,4.08,2.61,2.57,3.56,3.62
2026-05-19 17:36:10,9.11,5.1,1.74,2.57,3.56,4.82
2026-05-19 17:36:12,,,,,,
2026-05-19 17:36:13,,,,,,
2026-05-19 17:36:14,,,,,,
2026-05-19 17:36:16,2.28,1.02,0.87,1.71,1.78,1.21
2026-05-19 17:36:19,3.41,2.04,1.74,1.71,1.78,2.41
2026-05-19 17:36:22,2.28,1.02,0.87,1.71,0.89,1.21
2026-05-19 17:36:24,2.28,1.02,0.87,0.86,0.89,1.21
2026-05-19 17:36:27,2.28,1.02,0.87,0.86,0.89,1.21
2026-05-19 17:36:29,2.28,1.02,1.74,1.71,0.89,1.21
2026-05-19 17:36:32,2.28,1.02,1.74,1.71,0.89,1.21
2026-05-19 17:36:35,6.83,2.04,1.74,1.71,1.78,2.41
2026-05-19 17:36:37,13.66,5.1,3.48,3.43,3.56,3.62
2026-05-19 17:36:40,10.24,3.06,3.48,4.28,3.56,4.82
2026-05-19 17:36:42,2.28,2.04,1.74,1.71,1.78,1.21
2026-05-19 17:36:44,2.28,1.02,0.87,1.71,0.89,1.21
2026-05-19 17:36:48,,,,,,
2026-05-19 17:36:49,,,,,,
2026-05-19 17:36:50,,,,,,
2026-05-19 17:37:43,,,,,,
2026-05-19 17:37:44,,,,,,
2026-05-19 17:37:45,,,,,,
2026-05-19 17:37:47,9.11,5.1,2.61,2.57,3.56,3.62
2026-05-19 17:37:50,9.11,4.08,2.61,2.57,2.67,3.62
2026-05-19 17:38:06,,,,,,
