Timestamp,610nm,680nm,730nm,760nm,810nm,860nm
2026-05-19 17:50:05,12.52,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:50:07,11.38,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:50:11,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:13,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:15,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:18,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:20,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:24,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:26,12.52,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:50:28,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:50:31,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:33,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:37,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:39,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:41,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:44,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:47,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:49,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:52,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:54,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:50:57,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:00,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:03,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:05,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:07,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:10,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:12,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:16,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:18,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:20,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:23,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:25,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:29,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:31,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:34,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:36,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:38,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:42,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:44,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:47,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:49,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:52,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:54,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:51:57,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:52:00,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:52:02,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:52:05,13.66,4.08,2.61,2.57,1.78,2.41
2026-05-19 17:52:07,9.11,4.08,5.21,5.99,3.56,6.03
2026-05-19 17:52:10,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:52:13,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:52:15,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:52:18,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:20,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:24,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:26,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:28,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:31,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:33,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:37,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:39,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:41,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:44,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:46,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:49,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:52,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:55,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:52:57,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:00,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:02,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:05,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:07,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:11,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:13,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:15,6.83,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:18,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:20,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:24,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:26,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:28,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:31,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:33,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:36,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:39,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:41,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:44,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:46,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:49,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:52,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:55,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:57,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:53:59,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:02,10.24,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:05,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:08,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:10,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:12,10.24,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:16,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:18,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:20,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:23,6.83,3.06,1.74,1.71,2.67,2.41
2026-05-19 17:54:25,7.97,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:54:29,9.11,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:54:31,9.11,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:34,10.24,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:36,9.11,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:38,7.97,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:54:41,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:44,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:47,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:49,9.11,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:54:52,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:54,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:54:56,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:00,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:02,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:05,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:07,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:10,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:13,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:15,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:18,11.38,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:20,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:23,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:25,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:29,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:31,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:33,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:36,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:38,12.52,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:55:42,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:44,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:47,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:49,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:51,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:54,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:55:57,5.69,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:00,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:02,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:05,6.83,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:07,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:09,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:13,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:15,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:18,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:20,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:23,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:25,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:29,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:31,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:33,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:36,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:38,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:41,14.8,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:44,15.93,3.06,2.61,1.71,1.78,2.41
2026-05-19 17:56:47,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:49,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:51,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:54,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:56:56,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:00,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:02,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:05,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:07,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:10,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:12,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:15,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:18,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:20,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:23,10.24,3.06,1.74,1.71,2.67,2.41
2026-05-19 17:57:25,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:28,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:31,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:34,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:36,12.52,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:38,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:41,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:44,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:47,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:49,9.11,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:51,7.97,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:54,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:57:57,15.93,3.06,2.61,1.71,1.78,2.41
2026-05-19 17:58:00,15.93,3.06,2.61,1.71,1.78,2.41
2026-05-19 17:58:02,14.8,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:04,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:07,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:10,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:12,10.24,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:15,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:17,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:20,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:23,7.97,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:26,13.66,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:28,13.66,3.06,2.61,2.57,1.78,2.41
2026-05-19 17:58:31,11.38,3.06,1.74,1.71,1.78,2.41
2026-05-19 17:58:33,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:36,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:39,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:41,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:44,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:47,10.24,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:49,10.24,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:52,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:54,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:58:56,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:00,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:02,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:05,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:07,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:10,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:13,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:15,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:18,6.83,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:20,7.97,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:23,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:26,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:28,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:30,7.97,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:34,9.11,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:36,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:38,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:41,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:44,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:47,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:49,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:52,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:54,13.66,3.06,2.61,1.71,1.78,1.21
2026-05-19 17:59:57,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 17:59:59,10.24,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:02,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:05,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:07,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:10,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:12,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:15,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:18,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:20,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:23,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:26,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:28,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:31,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:33,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:35,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:39,7.97,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:41,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:44,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:47,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:49,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:52,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:54,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:57,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:00:59,12.52,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:01,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:05,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:07,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:10,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:12,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:15,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:18,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:20,4.55,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:23,6.83,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:25,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:28,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:31,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:33,7.97,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:36,9.11,2.04,1.74,1.71,1.78,1.21
2026-05-19 18:01:38,11.38,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:41,14.8,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:44,13.66,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:46,15.93,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:48,15.93,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:52,15.93,3.06,1.74,1.71,1.78,1.21
2026-05-19 18:01:54,15.93,3.06,1.74,1.71,1.78,1.21
