Timestamp,610nm,680nm,730nm,760nm,810nm,860nm
2026-05-19 17:46:56,258.37,59.2,46.06,46.24,37.35,36.18
2026-05-19 17:46:57,109.27,67.36,33.02,44.53,41.8,50.65
2026-05-19 17:46:58,120.65,79.61,46.06,64.23,55.14,69.95
2026-05-19 17:47:00,88.78,115.33,26.07,41.96,53.36,53.06
2026-05-19 17:47:02,260.65,67.36,46.93,41.96,40.91,50.65
2026-05-19 17:47:03,110.41,74.5,42.58,47.1,43.58,48.24
2026-05-19 17:47:04,104.72,66.34,44.32,54.81,45.36,57.89
2026-05-19 17:47:05,91.06,36.74,42.58,46.24,44.47,54.27
2026-05-19 17:47:07,92.19,39.8,42.58,46.24,44.47,54.27
2026-05-19 17:47:09,129.76,63.28,41.71,41.96,42.69,44.62
2026-05-19 17:47:10,86.5,56.13,35.63,41.96,38.24,47.03
2026-05-19 17:47:12,97.89,57.15,37.37,43.67,39.13,44.62
2026-05-19 17:47:13,91.06,54.09,34.76,41.11,38.24,45.83
2026-05-19 17:47:14,95.61,58.18,36.5,41.96,39.13,44.62
2026-05-19 17:47:16,103.58,60.22,37.37,42.82,39.13,44.62
2026-05-19 17:47:18,94.47,61.24,35.63,41.11,39.13,44.62
2026-05-19 17:47:19,96.75,57.15,36.5,41.96,39.13,44.62
2026-05-19 17:47:20,99.02,56.13,36.5,41.96,39.13,44.62
2026-05-19 17:47:22,101.3,58.18,36.5,41.96,39.13,44.62
2026-05-19 17:47:23,99.02,57.15,36.5,41.96,39.13,44.62
2026-05-19 17:47:24,101.3,57.15,36.5,41.96,39.13,44.62
2026-05-19 17:47:26,120.65,97.98,73.0,85.64,69.37,73.57
2026-05-19 17:47:28,96.75,58.18,41.71,52.24,49.8,68.74
2026-05-19 17:47:29,99.02,61.24,43.45,53.09,50.69,67.54
2026-05-19 17:47:31,105.85,41.85,42.58,50.53,45.36,62.71
2026-05-19 17:47:32,102.44,44.91,40.84,47.1,44.47,59.09
2026-05-19 17:47:33,104.72,29.6,65.18,76.22,35.57,61.51
2026-05-19 17:47:35,93.33,47.97,26.07,30.83,28.46,36.18
2026-05-19 17:47:37,92.19,47.97,26.94,30.83,29.35,36.18
2026-05-19 17:47:38,95.61,47.97,26.07,29.97,28.46,34.97
2026-05-19 17:47:39,94.47,45.93,25.2,29.12,27.57,34.97
2026-05-19 17:47:41,94.47,46.95,25.2,29.12,27.57,34.97
2026-05-19 17:47:42,100.16,46.95,26.07,29.12,27.57,33.77
2026-05-19 17:47:43,101.3,42.87,28.68,29.97,26.68,32.56
2026-05-19 17:47:46,99.02,46.95,26.94,29.12,29.35,34.97
2026-05-19 17:47:47,95.61,46.95,28.68,29.12,28.46,33.77
2026-05-19 17:47:48,103.58,45.93,29.55,29.97,28.46,34.97
2026-05-19 17:47:49,112.68,50.01,36.5,37.68,31.13,37.39
2026-05-19 17:47:51,118.37,48.99,35.63,35.97,31.13,37.39
2026-05-19 17:47:52,117.24,48.99,33.89,34.25,30.24,36.18
2026-05-19 17:47:54,114.96,47.97,33.02,33.4,30.24,36.18
2026-05-19 17:47:56,112.68,48.99,33.02,32.54,29.35,36.18
2026-05-19 17:47:57,101.3,48.99,33.89,34.25,30.24,36.18
2026-05-19 17:47:58,96.75,45.93,32.15,32.54,29.35,36.18
2026-05-19 17:47:59,102.44,47.97,33.02,33.4,29.35,36.18
2026-05-19 17:48:02,97.89,45.93,30.42,30.83,28.46,34.97
2026-05-19 17:48:03,86.5,44.91,25.2,31.69,26.68,37.39
2026-05-19 17:48:04,71.71,42.87,33.02,41.11,32.91,43.42
2026-05-19 17:48:06,58.05,37.76,28.68,32.54,32.91,41.0
2026-05-19 17:48:07,53.5,39.8,25.2,29.12,32.02,39.8
2026-05-19 17:48:08,100.16,75.53,40.84,46.24,40.02,45.83
2026-05-19 17:48:11,103.58,64.3,36.5,43.67,40.02,47.03
2026-05-19 17:48:12,117.24,56.13,38.24,45.39,41.8,49.45
2026-05-19 17:48:13,113.82,54.09,37.37,44.53,40.91,49.45
2026-05-19 17:48:14,151.38,62.26,42.58,42.82,42.69,44.62
2026-05-19 17:48:16,69.43,38.78,26.07,29.12,33.8,41.0
2026-05-19 17:48:17,68.29,38.78,26.07,29.97,33.8,41.0
2026-05-19 17:48:18,76.26,41.85,29.55,33.4,35.57,43.42
2026-05-19 17:48:21,77.4,42.87,29.55,34.25,35.57,43.42
2026-05-19 17:48:22,73.98,40.82,30.42,35.97,35.57,44.62
2026-05-19 17:48:23,168.45,73.48,46.06,53.95,45.36,48.24
2026-05-19 17:48:25,159.35,52.05,40.84,45.39,44.47,50.65
2026-05-19 17:48:26,141.14,46.95,39.11,41.96,41.8,47.03
2026-05-19 17:48:27,160.49,37.76,39.11,38.54,39.13,41.0
2026-05-19 17:48:29,117.24,34.7,34.76,34.25,37.35,37.39
2026-05-19 17:48:31,94.47,26.54,31.28,30.83,32.02,33.77
2026-05-19 17:48:32,108.13,29.6,33.02,32.54,33.8,34.97
2026-05-19 17:48:33,101.3,46.95,33.89,34.25,37.35,37.39
2026-05-19 17:48:34,100.16,36.74,33.89,34.25,35.57,38.59
2026-05-19 17:48:37,97.89,33.68,33.02,33.4,34.69,37.39
2026-05-19 17:48:38,81.95,43.89,27.81,27.4,34.69,37.39
2026-05-19 17:48:39,,,,,,
2026-05-19 17:48:42,7.97,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:48:44,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:48:47,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:48:49,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:48:52,10.24,4.08,2.61,2.57,2.67,2.41
2026-05-19 17:48:55,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:48:57,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:00,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:02,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:05,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:08,9.11,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:10,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:12,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:15,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:18,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:21,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:23,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:26,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:29,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:31,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:34,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:36,10.24,4.08,1.74,2.57,2.67,2.41
2026-05-19 17:49:39,10.24,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:49:41,10.24,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:49:44,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:49:47,10.24,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:49:49,10.24,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:49:52,10.24,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:49:54,11.38,4.08,1.74,2.57,1.78,2.41
2026-05-19 17:49:57,11.38,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:50:00,11.38,3.06,1.74,2.57,1.78,2.41
2026-05-19 17:50:02,11.38,4.08,1.74,2.57,1.78,2.41
