prepared_row_id,sample_id,610_nm,680_nm,730_nm,760_nm,810_nm,860_nm,label,label_numeric,iqr_outlier_count,iqr_outlier,robust_z_outlier_count,robust_z_outlier,strong_outlier_candidate,610_nm_sum_ratio,680_nm_sum_ratio,730_nm_sum_ratio,760_nm_sum_ratio,810_nm_sum_ratio,860_nm_sum_ratio,610_nm_to_610,680_nm_to_610,730_nm_to_610,760_nm_to_610,810_nm_to_610,860_nm_to_610
1,1,26.18,5.1,5.21,3.43,2.67,1.21,Fresh,1,0,False,0,False,False,0.5977168949771688,0.11643835616438354,0.1189497716894977,0.07831050228310502,0.060958904109589034,0.027625570776255704,1.0,0.1948051948051948,0.1990068754774637,0.13101604278074866,0.10198624904507257,0.046218487394957986
2,2,9.11,2.04,1.74,1.71,0.89,0.0,Fresh,1,0,False,0,False,False,0.5881213686249194,0.131697869593286,0.11233053582956748,0.11039380245319562,0.05745642349903164,0.0,1.0,0.22392974753018663,0.19099890230515917,0.18770581778265644,0.09769484083424809,0.0
3,4,29.59,5.1,6.08,3.43,2.67,1.21,Fresh,1,0,False,0,False,False,0.615432612312812,0.10607321131447588,0.1264559068219634,0.07133943427620633,0.0555324459234609,0.02516638935108153,1.0,0.1723555255153768,0.20547482257519434,0.11591753970936128,0.09023318688746197,0.040892193308550186
4,5,36.42,7.14,6.08,3.43,2.67,1.21,Fresh,1,0,False,0,False,False,0.6395083406496928,0.1253731343283582,0.10676031606672519,0.06022827041264267,0.04688323090430201,0.02124670763827919,1.0,0.1960461285008237,0.16694124107633168,0.09417902251510159,0.07331136738056013,0.03322350356946732
5,6,2.28,2.04,0.87,0.0,0.89,0.0,Fresh,1,1,True,0,False,False,0.37499999999999994,0.3355263157894737,0.14309210526315788,0.0,0.14638157894736842,0.0,1.0,0.8947368421052633,0.3815789473684211,0.0,0.3903508771929825,0.0
6,7,2.28,1.02,0.87,0.0,0.0,0.0,Fresh,1,1,True,0,False,False,0.5467625899280575,0.2446043165467626,0.20863309352517986,0.0,0.0,0.0,1.0,0.44736842105263164,0.3815789473684211,0.0,0.0,0.0
7,8,35.28,8.16,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.6504424778761062,0.15044247787610618,0.08019911504424777,0.04738200589970501,0.04922566371681416,0.022308259587020648,1.0,0.23129251700680273,0.12329931972789114,0.07284580498866212,0.07568027210884354,0.03429705215419501
8,9,31.87,8.16,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.6379103282626101,0.1633306645316253,0.06965572457966374,0.05144115292233787,0.05344275420336269,0.02421937550040032,1.0,0.25604016316284905,0.10919359899592092,0.08064010040790712,0.08377784750549105,0.037966739880765606
9,11,40.98,10.21,5.21,3.43,3.56,1.21,Fresh,1,0,False,0,False,False,0.6343653250773994,0.1580495356037152,0.08065015479876161,0.053095975232198146,0.05510835913312694,0.018730650154798762,1.0,0.2491459248413861,0.1271351878965349,0.0836993655441679,0.08687164470473402,0.02952659834065398
10,12,40.98,10.21,4.35,3.43,2.67,1.21,Fresh,1,0,False,0,False,False,0.6520286396181384,0.1624502784407319,0.06921241050119331,0.054574383452665076,0.04248210023866348,0.019252187748607794,1.0,0.2491459248413861,0.1061493411420205,0.0836993655441679,0.06515373352855051,0.02952659834065398
11,13,31.87,6.12,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.6650667779632721,0.12771285475792987,0.07262103505843072,0.05363105175292153,0.05571786310517529,0.02525041736227045,1.0,0.1920301223721368,0.10919359899592092,0.08064010040790712,0.08377784750549105,0.037966739880765606
12,14,11.38,3.06,1.74,0.86,0.89,0.0,Fresh,1,0,False,0,False,False,0.6346904629113218,0.1706636921360848,0.09704406023424428,0.04796430563301729,0.04963747908533185,0.0,1.0,0.2688927943760984,0.15289982425307555,0.07557117750439367,0.078207381370826,0.0
13,15,4.55,0.0,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False,0.7245222929936305,0.0,0.13853503184713375,0.13694267515923567,0.0,0.0,1.0,0.0,0.19120879120879122,0.189010989010989,0.0,0.0
14,16,13.66,4.08,1.74,1.71,0.89,1.21,Fresh,1,0,False,0,False,False,0.5865178188063546,0.1751824817518248,0.07471017604121939,0.0734220695577501,0.0382138256762559,0.0519536281665951,1.0,0.2986822840409956,0.1273792093704246,0.12518301610541727,0.06515373352855051,0.08857979502196194
15,17,29.59,8.16,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False,0.6324000854883522,0.1743962385125027,0.07437486642444967,0.054926266296217136,0.038042316734344946,0.02586022654413336,1.0,0.2757688408246029,0.11760729976343359,0.08685366677931733,0.060155457924974655,0.040892193308550186
16,18,23.9,7.14,3.48,1.71,1.78,1.21,Fresh,1,0,False,0,False,False,0.6093829678735339,0.1820499745028047,0.0887302396736359,0.043600203977562466,0.04538500764915859,0.030851606323304435,1.0,0.298744769874477,0.14560669456066946,0.07154811715481171,0.07447698744769875,0.050627615062761505
17,19,28.46,10.21,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.58559670781893,0.21008230452674898,0.07160493827160494,0.052880658436213986,0.05493827160493827,0.024897119341563783,1.0,0.3587491215741392,0.12227687983134224,0.09030217849613492,0.09381588193956429,0.04251581166549543
18,20,29.59,10.21,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.5950130705811382,0.20530866680072393,0.06997788055499699,0.0516790669615926,0.053689925598230444,0.024331389503317917,1.0,0.3450490030415681,0.11760729976343359,0.08685366677931733,0.09023318688746197,0.040892193308550186
19,21,4.55,1.02,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False,0.6232876712328766,0.13972602739726026,0.1191780821917808,0.11780821917808218,0.0,0.0,1.0,0.22417582417582418,0.19120879120879122,0.189010989010989,0.0,0.0
20,22,18.21,4.08,2.61,1.71,0.89,1.21,Fresh,1,0,False,0,False,False,0.6342737722048067,0.14211076280041798,0.0909090909090909,0.05956112852664577,0.03099965168930686,0.042145593869731796,1.0,0.22405271828665568,0.14332784184514002,0.09390444810543656,0.04887424492037342,0.06644700713893464
21,23,37.56,9.19,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False,0.6526498696785404,0.15968722849695915,0.07558644656820156,0.044656820156385744,0.046394439617723715,0.0210251954821894,1.0,0.24467518636847707,0.11581469648562298,0.06842385516506921,0.07108626198083066,0.03221512247071352
22,24,18.21,3.06,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False,0.6371588523442967,0.10706787963610916,0.09132260321903428,0.05983205038488453,0.0622813156053184,0.04233729881035689,1.0,0.16803953871499175,0.14332784184514002,0.09390444810543656,0.09774848984074684,0.06644700713893464
23,25,19.35,3.06,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False,0.6510767160161507,0.10296096904441453,0.08781965006729474,0.057537012113055175,0.059892328398384924,0.04071332436069986,1.0,0.15813953488372093,0.13488372093023254,0.0883720930232558,0.09198966408268733,0.06253229974160206
24,26,19.35,2.04,3.48,1.71,1.78,0.0,Fresh,1,0,False,0,False,False,0.6822990126939351,0.07193229901269393,0.12270803949224258,0.06029619181946402,0.06276445698166432,0.0,1.0,0.10542635658914729,0.17984496124031008,0.0883720930232558,0.09198966408268733,0.0
